iter	RMSE
0	14.51680215
1	14.06746068
2	13.46995618
3	13.03415799
4	12.64453769
5	12.47723124
6	12.12439116
7	11.83942494
8	11.70617604
9	11.36202752
10	11.01960599
11	10.74119825
12	10.47827332
13	10.2090189
14	9.93701417
15	9.725691948
16	9.496571446
17	9.284137652
18	9.063918364
19	8.852889584
20	8.692071926
21	8.550179539
22	8.368904996
23	8.190538196
24	8.037407659
25	7.888066734
26	7.736260435
27	7.60023422
28	7.472498167
29	7.346641839
30	7.231289671
31	7.119903342
32	7.014968799
33	6.910180477
34	6.801540972
35	6.705474648
36	6.614140788
37	6.527713685
38	6.447227453
39	6.368087132
40	6.314250279
41	6.257095591
42	6.187745492
43	6.136833191
44	6.075905475
45	6.019681616
46	5.969533199
47	5.91114871
48	5.860694066
49	5.813321685050	5.773761675151	5.733286055252	5.691140985353	5.657360675454	5.613465465555	5.58367112556	5.549566018557	5.522148468558	5.491285295559	5.454194611660	5.424181177661	5.397493675662	5.364874275663	5.333669458664	5.311456147665	5.292977385666	5.267960395667	5.240354665668	5.220586349669	5.200303696770	5.183334402771	5.16365817
72	5.147085988
73	5.12811457
74	5.109851461
75	5.090343399
76	5.075358796
77	5.063274068
78	5.048959408
79	5.035254791
80	5.028231429
81	5.008492551
82	4.998764688
83	4.986283176
84	4.977420718
85	4.963631691
86	4.948362116
87	4.937162408
88	4.92846865
89	4.917184369
90	4.90400985
91	4.894414596
92	4.883065601
93	4.873416033
94	4.865909835
95	4.856148621
96	4.843322338
97	4.836348753
98	4.829710997
99	4.822897714
100	4.809301363
101	4.799166088
102	4.786303531
103	4.773128911
104	4.762686974
105	4.751630746
106	4.738733565
107	4.729779688
108	4.720862816
109	4.711735029
110	4.699824408
111	4.693323777
112	4.685853254
113	4.673330379
114	4.666785481
115	4.660963863
116	4.654373975
117	4.646318906
118	4.638947431
119	4.631345743
120	4.624917316
121	4.6203538
122	4.608893489
123	4.602127025
124	4.593191351
125	4.585317492
126	4.579891642
127	4.57093291
128	4.557645676
129	4.546323201
130	4.541281602
131	4.535854681
132	4.527490649
133	4.522290622
134	4.513291296
135	4.507696345
136	4.500595517
137	4.493019085
138	4.491080513
139	4.484555458
140	4.478745039
141	4.470194611
142	4.46261088
143	4.456833446
144	4.453668834
145	4.448607817
146	4.4480380014147	4.441290551148	4.4368822461149	4.42922224
150	4.424381558
151	4.413931119
152	4.405885953
153	4.399947573
154	4.390442296
155	4.38625667
156	4.382692384
157	4.373420847
158	4.366507718
159	4.35745233
160	4.350661528
161	4.346015194
162	4.342411135
163	4.337849273
164	4.329484845
165	4.326489108
166	4.325329144
167	4.320876925
168	4.316684872
169	4.311227908
170	4.307860172
171	4.30625124
172	4.303745185
173	4.302407334
174	4.301167645
175	4.297320703
176	4.292556367
177	4.285273387
178	4.274578207
179	4.269392979
180	4.266681919
181	4.265237193
182	4.256752347
183	4.254934809
184	4.253852815
185	4.253125225
186	4.246769831
187	4.24389206
188	4.239293152
189189	4.4209242190	4.23441136
191	191	4.411252192	192	4.40443193	4193	4.40144194	194	4.397222195	195	4.384722196196	4.3816038197197	4.372073819198	4.3643195819199	4.361051051
5
